Tract,Instrument,Order by Date,Image Path,Vol,Page,Inst. No.,File Date,Inst./Eff. Date,Grantor,Grantee,Land Desc.,Interest,Remarks
T05,Oil and Gas Lease 00015,1995-03-15,phase0/import-stress/T05/image-00015.pdf,115,16,P0-00015,1995-03-16,1995-03-15,Phase 0 Grantor 016,Phase 0 Grantee 016,"Section 5, Block 1, Raven Forest Survey, Walker County, Texas",1/17,Deterministic import stress row 00015
T06,Assignment 00016,1996-04-16,phase0/import-stress/T06/image-00016.pdf,116,17,P0-00016,1996-04-17,1996-04-16,Phase 0 Grantor 017,Phase 0 Grantee 017,"Section 6, Block 2, Raven Forest Survey, Walker County, Texas",1/18,Deterministic import stress row 00016
T07,Ratification 00017,1997-05-17,phase0/import-stress/T07/image-00017.pdf,117,18,P0-00017,1997-05-18,1997-05-17,Phase 0 Grantor 018,Phase 0 Grantee 018,"Section 7, Block 3, Raven Forest Survey, Walker County, Texas",1/19,Deterministic import stress row 00017
T08,Warranty Deed 00018,1998-06-18,phase0/import-stress/T08/image-00018.pdf,118,19,P0-00018,1998-06-19,1998-06-18,Phase 0 Grantor 019,Phase 0 Grantee 019,"Section 8, Block 4, Raven Forest Survey, Walker County, Texas",1/20,Deterministic import stress row 00018
T09,Mineral Deed 00019,1999-07-19,phase0/import-stress/T09/image-00019.pdf,119,20,P0-00019,1999-07-20,1999-07-19,Phase 0 Grantor 020,Phase 0 Grantee 020,"Section 9, Block 5, Raven Forest Survey, Walker County, Texas",1/21,Deterministic import stress row 00019
T10,Royalty Deed 00020,2000-08-20,phase0/import-stress/T10/image-00020.pdf,120,21,P0-00020,2000-08-21,2000-08-20,Phase 0 Grantor 021,Phase 0 Grantee 021,"Section 10, Block 6, Raven Forest Survey, Walker County, Texas",1/22,Deterministic import stress row 00020
T01,Oil and Gas Lease 00021,2001-09-21,phase0/import-stress/T01/image-00021.pdf,121,22,P0-00021,2001-09-22,2001-09-21,Phase 0 Grantor 022,Phase 0 Grantee 022,"Section 1, Block 7, Raven Forest Survey, Walker County, Texas",1/23,Deterministic import stress row 00021
T02,Assignment 00022,2002-10-22,phase0/import-stress/T02/image-00022.pdf,122,23,P0-00022,2002-10-23,2002-10-22,Phase 0 Grantor 023,Phase 0 Grantee 023,"Section 2, Block 1, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 00022
T03,Ratification 00023,2003-11-23,phase0/import-stress/T03/image-00023.pdf,123,24,P0-00023,2003-11-24,2003-11-23,Phase 0 Grantor 024,Phase 0 Grantee 024,"Section 3, Block 2, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 00023
T04,Warranty Deed 00024,2004-12-24,phase0/import-stress/T04/image-00024.pdf,124,25,P0-00024,2004-12-25,2004-12-24,Phase 0 Grantor 025,Phase 0 Grantee 025,"Section 4, Block 3, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 00024
T05,Mineral Deed 00025,2005-01-25,phase0/import-stress/T05/image-00025.pdf,125,26,P0-00025,2005-01-26,2005-01-25,Phase 0 Grantor 026,Phase 0 Grantee 026,"Section 5, Block 4, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 00025
T06,Royalty Deed 00026,2006-02-26,phase0/import-stress/T06/image-00026.pdf,126,27,P0-00026,2006-02-27,2006-02-26,Phase 0 Grantor 027,Phase 0 Grantee 027,"Section 6, Block 5, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 00026
T07,Oil and Gas Lease 00027,2007-03-27,phase0/import-stress/T07/image-00027.pdf,127,28,P0-00027,2007-03-28,2007-03-27,Phase 0 Grantor 028,Phase 0 Grantee 028,"Section 7, Block 6, Raven Forest Survey, Walker County, Texas",1/29,Deterministic import stress row 00027
T08,Assignment 00028,2008-04-28,phase0/import-stress/T08/image-00028.pdf,128,29,P0-00028,2008-04-01,2008-04-28,Phase 0 Grantor 029,Phase 0 Grantee 029,"Section 8, Block 7, Raven Forest Survey, Walker County, Texas",1/30,Deterministic import stress row 00028
T09,Ratification 00029,2009-05-01,phase0/import-stress/T09/image-00029.pdf,129,30,P0-00029,2009-05-02,2009-05-01,Phase 0 Grantor 030,Phase 0 Grantee 030,"Section 9, Block 1, Raven Forest Survey, Walker County, Texas",1/31,Deterministic import stress row 00029
T10,Warranty Deed 00030,2010-06-02,phase0/import-stress/T10/image-00030.pdf,130,31,P0-00030,2010-06-03,2010-06-02,Phase 0 Grantor 031,Phase 0 Grantee 031,"Section 10, Block 2, Raven Forest Survey, Walker County, Texas",1/32,Deterministic import stress row 00030
T01,Mineral Deed 00031,2011-07-03,phase0/import-stress/T01/image-00031.pdf,131,32,P0-00031,2011-07-04,2011-07-03,Phase 0 Grantor 032,Phase 0 Grantee 032,"Section 1, Block 3, Raven Forest Survey, Walker County, Texas",1/33,Deterministic import stress row 00031
T02,Royalty Deed 00032,2012-08-04,phase0/import-stress/T02/image-00032.pdf,132,33,P0-00032,2012-08-05,2012-08-04,Phase 0 Grantor 033,Phase 0 Grantee 033,"Section 2, Block 4, Raven Forest Survey, Walker County, Texas",1/34,Deterministic import stress row 00032
T03,Oil and Gas Lease 00033,2013-09-05,phase0/import-stress/T03/image-00033.pdf,133,34,P0-00033,2013-09-06,2013-09-05,Phase 0 Grantor 034,Phase 0 Grantee 034,"Section 3, Block 5, Raven Forest Survey, Walker County, Texas",1/35,Deterministic import stress row 00033
T04,Assignment 00034,2014-10-06,phase0/import-stress/T04/image-00034.pdf,134,35,P0-00034,2014-10-07,2014-10-06,Phase 0 Grantor 035,Phase 0 Grantee 035,"Section 4, Block 6, Raven Forest Survey, Walker County, Texas",1/36,Deterministic import stress row 00034
T05,Ratification 00035,2015-11-07,phase0/import-stress/T05/image-00035.pdf,135,36,P0-00035,2015-11-08,2015-11-07,Phase 0 Grantor 036,Phase 0 Grantee 036,"Section 5, Block 7, Raven Forest Survey, Walker County, Texas",1/37,Deterministic import stress row 00035
T06,Warranty Deed 00036,2016-12-08,phase0/import-stress/T06/image-00036.pdf,136,37,P0-00036,2016-12-09,2016-12-08,Phase 0 Grantor 037,Phase 0 Grantee 037,"Section 6, Block 1, Raven Forest Survey, Walker County, Texas",1/38,Deterministic import stress row 00036
T07,Mineral Deed 00037,2017-01-09,phase0/import-stress/T07/image-00037.pdf,137,38,P0-00037,2017-01-10,2017-01-09,Phase 0 Grantor 038,Phase 0 Grantee 038,"Section 7, Block 2, Raven Forest Survey, Walker County, Texas",1/39,Deterministic import stress row 00037
T08,Royalty Deed 00038,2018-02-10,phase0/import-stress/T08/image-00038.pdf,138,39,P0-00038,2018-02-11,2018-02-10,Phase 0 Grantor 039,Phase 0 Grantee 039,"Section 8, Block 3, Raven Forest Survey, Walker County, Texas",1/40,Deterministic import stress row 00038
T09,Oil and Gas Lease 00039,2019-03-11,phase0/import-stress/T09/image-00039.pdf,139,40,P0-00039,2019-03-12,2019-03-11,Phase 0 Grantor 040,Phase 0 Grantee 040,"Section 9, Block 4, Raven Forest Survey, Walker County, Texas",1/41,Deterministic import stress row 00039
T10,Assignment 00040,1980-04-12,phase0/import-stress/T10/image-00040.pdf,140,41,P0-00040,1980-04-13,1980-04-12,Phase 0 Grantor 041,Phase 0 Grantee 041,"Section 10, Block 5, Raven Forest Survey, Walker County, Texas",1/42,Deterministic import stress row 00040
T01,Ratification 00041,1981-05-13,phase0/import-stress/T01/image-00041.pdf,141,42,P0-00041,1981-05-14,1981-05-13,Phase 0 Grantor 042,Phase 0 Grantee 042,"Section 1, Block 6, Raven Forest Survey, Walker County, Texas",1/43,Deterministic import stress row 00041
T02,Warranty Deed 00042,1982-06-14,phase0/import-stress/T02/image-00042.pdf,142,43,P0-00042,1982-06-15,1982-06-14,Phase 0 Grantor 043,Phase 0 Grantee 043,"Section 2, Block 7, Raven Forest Survey, Walker County, Texas",1/44,Deterministic import stress row 00042
T03,Mineral Deed 00043,1983-07-15,phase0/import-stress/T03/image-00043.pdf,143,44,P0-00043,1983-07-16,1983-07-15,Phase 0 Grantor 044,Phase 0 Grantee 044,"Section 3, Block 1, Raven Forest Survey, Walker County, Texas",1/45,Deterministic import stress row 00043
T04,Royalty Deed 00044,1984-08-16,phase0/import-stress/T04/image-00044.pdf,144,45,P0-00044,1984-08-17,1984-08-16,Phase 0 Grantor 045,Phase 0 Grantee 045,"Section 4, Block 2, Raven Forest Survey, Walker County, Texas",1/46,Deterministic import stress row 00044
T05,Oil and Gas Lease 00045,1985-09-17,phase0/import-stress/T05/image-00045.pdf,145,46,P0-00045,1985-09-18,1985-09-17,Phase 0 Grantor 046,Phase 0 Grantee 046,"Section 5, Block 3, Raven Forest Survey, Walker County, Texas",1/47,Deterministic import stress row 00045
T06,Assignment 00046,1986-10-18,phase0/import-stress/T06/image-00046.pdf,146,47,P0-00046,1986-10-19,1986-10-18,Phase 0 Grantor 047,Phase 0 Grantee 047,"Section 6, Block 4, Raven Forest Survey, Walker County, Texas",1/48,Deterministic import stress row 00046
T07,Ratification 00047,1987-11-19,phase0/import-stress/T07/image-00047.pdf,147,48,P0-00047,1987-11-20,1987-11-19,Phase 0 Grantor 048,Phase 0 Grantee 048,"Section 7, Block 5, Raven Forest Survey, Walker County, Texas",1/49,Deterministic import stress row 00047
T08,Warranty Deed 00048,1988-12-20,phase0/import-stress/T08/image-00048.pdf,148,49,P0-00048,1988-12-21,1988-12-20,Phase 0 Grantor 049,Phase 0 Grantee 049,"Section 8, Block 6, Raven Forest Survey, Walker County, Texas",1/2,Deterministic import stress row 00048
T09,Mineral Deed 00049,1989-01-21,phase0/import-stress/T09/image-00049.pdf,149,50,P0-00049,1989-01-22,1989-01-21,Phase 0 Grantor 050,Phase 0 Grantee 050,"Section 9, Block 7, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 00049
T10,Royalty Deed 00050,1990-02-22,phase0/import-stress/T10/image-00050.pdf,150,51,P0-00050,1990-02-23,1990-02-22,Phase 0 Grantor 051,Phase 0 Grantee 051,"Section 10, Block 1, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 00050
T01,Oil and Gas Lease 00051,1991-03-23,phase0/import-stress/T01/image-00051.pdf,151,52,P0-00051,1991-03-24,1991-03-23,Phase 0 Grantor 052,Phase 0 Grantee 052,"Section 1, Block 2, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 00051
T02,Assignment 00052,1992-04-24,phase0/import-stress/T02/image-00052.pdf,152,53,P0-00052,1992-04-25,1992-04-24,Phase 0 Grantor 053,Phase 0 Grantee 053,"Section 2, Block 3, Raven Forest Survey, Walker County, Texas",1/6,Deterministic import stress row 00052
T03,Ratification 00053,1993-05-25,phase0/import-stress/T03/image-00053.pdf,153,54,P0-00053,1993-05-26,1993-05-25,Phase 0 Grantor 054,Phase 0 Grantee 054,"Section 3, Block 4, Raven Forest Survey, Walker County, Texas",1/7,Deterministic import stress row 00053
T04,Warranty Deed 00054,1994-06-26,phase0/import-stress/T04/image-00054.pdf,154,55,P0-00054,1994-06-27,1994-06-26,Phase 0 Grantor 055,Phase 0 Grantee 055,"Section 4, Block 5, Raven Forest Survey, Walker County, Texas",1/8,Deterministic import stress row 00054
T05,Mineral Deed 00055,1995-07-27,phase0/import-stress/T05/image-00055.pdf,155,56,P0-00055,1995-07-28,1995-07-27,Phase 0 Grantor 056,Phase 0 Grantee 056,"Section 5, Block 6, Raven Forest Survey, Walker County, Texas",1/9,Deterministic import stress row 00055
T06,Royalty Deed 00056,1996-08-28,phase0/import-stress/T06/image-00056.pdf,156,57,P0-00056,1996-08-01,1996-08-28,Phase 0 Grantor 057,Phase 0 Grantee 057,"Section 6, Block 7, Raven Forest Survey, Walker County, Texas",1/10,Deterministic import stress row 00056
T07,Oil and Gas Lease 00057,1997-09-01,phase0/import-stress/T07/image-00057.pdf,157,58,P0-00057,1997-09-02,1997-09-01,Phase 0 Grantor 058,Phase 0 Grantee 058,"Section 7, Block 1, Raven Forest Survey, Walker County, Texas",1/11,Deterministic import stress row 00057
T08,Assignment 00058,1998-10-02,phase0/import-stress/T08/image-00058.pdf,158,59,P0-00058,1998-10-03,1998-10-02,Phase 0 Grantor 059,Phase 0 Grantee 059,"Section 8, Block 2, Raven Forest Survey, Walker County, Texas",1/12,Deterministic import stress row 00058
T09,Ratification 00059,1999-11-03,phase0/import-stress/T09/image-00059.pdf,159,60,P0-00059,1999-11-04,1999-11-03,Phase 0 Grantor 060,Phase 0 Grantee 060,"Section 9, Block 3, Raven Forest Survey, Walker County, Texas",1/13,Deterministic import stress row 00059
T10,Warranty Deed 00060,2000-12-04,phase0/import-stress/T10/image-00060.pdf,160,61,P0-00060,2000-12-05,2000-12-04,Phase 0 Grantor 061,Phase 0 Grantee 061,"Section 10, Block 4, Raven Forest Survey, Walker County, Texas",1/14,Deterministic import stress row 00060
T01,Mineral Deed 00061,2001-01-05,phase0/import-stress/T01/image-00061.pdf,161,62,P0-00061,2001-01-06,2001-01-05,Phase 0 Grantor 062,Phase 0 Grantee 062,"Section 1, Block 5, Raven Forest Survey, Walker County, Texas",1/15,Deterministic import stress row 00061
T02,Royalty Deed 00062,2002-02-06,phase0/import-stress/T02/image-00062.pdf,162,63,P0-00062,2002-02-07,2002-02-06,Phase 0 Grantor 063,Phase 0 Grantee 063,"Section 2, Block 6, Raven Forest Survey, Walker County, Texas",1/16,Deterministic import stress row 00062
T03,Oil and Gas Lease 00063,2003-03-07,phase0/import-stress/T03/image-00063.pdf,163,64,P0-00063,2003-03-08,2003-03-07,Phase 0 Grantor 064,Phase 0 Grantee 064,"Section 3, Block 7, Raven Forest Survey, Walker County, Texas",1/17,Deterministic import stress row 00063
T04,Assignment 00064,2004-04-08,phase0/import-stress/T04/image-00064.pdf,164,65,P0-00064,2004-04-09,2004-04-08,Phase 0 Grantor 065,Phase 0 Grantee 065,"Section 4, Block 1, Raven Forest Survey, Walker County, Texas",1/18,Deterministic import stress row 00064
T05,Ratification 00065,2005-05-09,phase0/import-stress/T05/image-00065.pdf,165,66,P0-00065,2005-05-10,2005-05-09,Phase 0 Grantor 066,Phase 0 Grantee 066,"Section 5, Block 2, Raven Forest Survey, Walker County, Texas",1/19,Deterministic import stress row 00065
T06,Warranty Deed 00066,2006-06-10,phase0/import-stress/T06/image-00066.pdf,166,67,P0-00066,2006-06-11,2006-06-10,Phase 0 Grantor 067,Phase 0 Grantee 067,"Section 6, Block 3, Raven Forest Survey, Walker County, Texas",1/20,Deterministic import stress row 00066
T07,Mineral Deed 00067,2007-07-11,phase0/import-stress/T07/image-00067.pdf,167,68,P0-00067,2007-07-12,2007-07-11,Phase 0 Grantor 068,Phase 0 Grantee 068,"Section 7, Block 4, Raven Forest Survey, Walker County, Texas",1/21,Deterministic import stress row 00067
T08,Royalty Deed 00068,2008-08-12,phase0/import-stress/T08/image-00068.pdf,168,69,P0-00068,2008-08-13,2008-08-12,Phase 0 Grantor 069,Phase 0 Grantee 069,"Section 8, Block 5, Raven Forest Survey, Walker County, Texas",1/22,Deterministic import stress row 00068
T09,Oil and Gas Lease 00069,2009-09-13,phase0/import-stress/T09/image-00069.pdf,169,70,P0-00069,2009-09-14,2009-09-13,Phase 0 Grantor 070,Phase 0 Grantee 070,"Section 9, Block 6, Raven Forest Survey, Walker County, Texas",1/23,Deterministic import stress row 00069
T10,Assignment 00070,2010-10-14,phase0/import-stress/T10/image-00070.pdf,170,71,P0-00070,2010-10-15,2010-10-14,Phase 0 Grantor 071,Phase 0 Grantee 071,"Section 10, Block 7, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 00070
T01,Ratification 00071,2011-11-15,phase0/import-stress/T01/image-00071.pdf,171,72,P0-00071,2011-11-16,2011-11-15,Phase 0 Grantor 072,Phase 0 Grantee 072,"Section 1, Block 1, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 00071
T02,Warranty Deed 00072,2012-12-16,phase0/import-stress/T02/image-00072.pdf,172,73,P0-00072,2012-12-17,2012-12-16,Phase 0 Grantor 073,Phase 0 Grantee 073,"Section 2, Block 2, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 00072
T03,Mineral Deed 00073,2013-01-17,phase0/import-stress/T03/image-00073.pdf,173,74,P0-00073,2013-01-18,2013-01-17,Phase 0 Grantor 074,Phase 0 Grantee 074,"Section 3, Block 3, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 00073
T04,Royalty Deed 00074,2014-02-18,phase0/import-stress/T04/image-00074.pdf,174,75,P0-00074,2014-02-19,2014-02-18,Phase 0 Grantor 075,Phase 0 Grantee 075,"Section 4, Block 4, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 00074
T05,Oil and Gas Lease 00075,2015-03-19,phase0/import-stress/T05/image-00075.pdf,175,76,P0-00075,2015-03-20,2015-03-19,Phase 0 Grantor 076,Phase 0 Grantee 076,"Section 5, Block 5, Raven Forest Survey, Walker County, Texas",1/29,Deterministic import stress row 00075
T06,Assignment 00076,2016-04-20,phase0/import-stress/T06/image-00076.pdf,176,77,P0-00076,2016-04-21,2016-04-20,Phase 0 Grantor 077,Phase 0 Grantee 077,"Section 6, Block 6, Raven Forest Survey, Walker County, Texas",1/30,Deterministic import stress row 00076
T07,Ratification 00077,2017-05-21,phase0/import-stress/T07/image-00077.pdf,177,78,P0-00077,2017-05-22,2017-05-21,Phase 0 Grantor 078,Phase 0 Grantee 078,"Section 7, Block 7, Raven Forest Survey, Walker County, Texas",1/31,Deterministic import stress row 00077
T08,Warranty Deed 00078,2018-06-22,phase0/import-stress/T08/image-00078.pdf,178,79,P0-00078,2018-06-23,2018-06-22,Phase 0 Grantor 079,Phase 0 Grantee 079,"Section 8, Block 1, Raven Forest Survey, Walker County, Texas",1/32,Deterministic import stress row 00078
T09,Mineral Deed 00079,2019-07-23,phase0/import-stress/T09/image-00079.pdf,179,80,P0-00079,2019-07-24,2019-07-23,Phase 0 Grantor 080,Phase 0 Grantee 080,"Section 9, Block 2, Raven Forest Survey, Walker County, Texas",1/33,Deterministic import stress row 00079
T10,Royalty Deed 00080,1980-08-24,phase0/import-stress/T10/image-00080.pdf,180,81,P0-00080,1980-08-25,1980-08-24,Phase 0 Grantor 081,Phase 0 Grantee 081,"Section 10, Block 3, Raven Forest Survey, Walker County, Texas",1/34,Deterministic import stress row 00080
T01,Oil and Gas Lease 00081,1981-09-25,phase0/import-stress/T01/image-00081.pdf,181,82,P0-00081,1981-09-26,1981-09-25,Phase 0 Grantor 082,Phase 0 Grantee 082,"Section 1, Block 4, Raven Forest Survey, Walker County, Texas",1/35,Deterministic import stress row 00081
T02,Assignment 00082,1982-10-26,phase0/import-stress/T02/image-00082.pdf,182,83,P0-00082,1982-10-27,1982-10-26,Phase 0 Grantor 083,Phase 0 Grantee 083,"Section 2, Block 5, Raven Forest Survey, Walker County, Texas",1/36,Deterministic import stress row 00082
T03,Ratification 00083,1983-11-27,phase0/import-stress/T03/image-00083.pdf,183,84,P0-00083,1983-11-28,1983-11-27,Phase 0 Grantor 084,Phase 0 Grantee 084,"Section 3, Block 6, Raven Forest Survey, Walker County, Texas",1/37,Deterministic import stress row 00083
T04,Warranty Deed 00084,1984-12-28,phase0/import-stress/T04/image-00084.pdf,184,85,P0-00084,1984-12-01,1984-12-28,Phase 0 Grantor 085,Phase 0 Grantee 085,"Section 4, Block 7, Raven Forest Survey, Walker County, Texas",1/38,Deterministic import stress row 00084
T05,Mineral Deed 00085,1985-01-01,phase0/import-stress/T05/image-00085.pdf,185,86,P0-00085,1985-01-02,1985-01-01,Phase 0 Grantor 086,Phase 0 Grantee 086,"Section 5, Block 1, Raven Forest Survey, Walker County, Texas",1/39,Deterministic import stress row 00085
T06,Royalty Deed 00086,1986-02-02,phase0/import-stress/T06/image-00086.pdf,186,87,P0-00086,1986-02-03,1986-02-02,Phase 0 Grantor 087,Phase 0 Grantee 087,"Section 6, Block 2, Raven Forest Survey, Walker County, Texas",1/40,Deterministic import stress row 00086
T07,Oil and Gas Lease 00087,1987-03-03,phase0/import-stress/T07/image-00087.pdf,187,88,P0-00087,1987-03-04,1987-03-03,Phase 0 Grantor 088,Phase 0 Grantee 088,"Section 7, Block 3, Raven Forest Survey, Walker County, Texas",1/41,Deterministic import stress row 00087
T08,Assignment 00088,1988-04-04,phase0/import-stress/T08/image-00088.pdf,188,89,P0-00088,1988-04-05,1988-04-04,Phase 0 Grantor 089,Phase 0 Grantee 089,"Section 8, Block 4, Raven Forest Survey, Walker County, Texas",1/42,Deterministic import stress row 00088
T09,Ratification 00089,1989-05-05,phase0/import-stress/T09/image-00089.pdf,189,90,P0-00089,1989-05-06,1989-05-05,Phase 0 Grantor 090,Phase 0 Grantee 090,"Section 9, Block 5, Raven Forest Survey, Walker County, Texas",1/43,Deterministic import stress row 00089
T10,Warranty Deed 00090,1990-06-06,phase0/import-stress/T10/image-00090.pdf,190,91,P0-00090,1990-06-07,1990-06-06,Phase 0 Grantor 091,Phase 0 Grantee 091,"Section 10, Block 6, Raven Forest Survey, Walker County, Texas",1/44,Deterministic import stress row 00090
T01,Mineral Deed 00091,1991-07-07,phase0/import-stress/T01/image-00091.pdf,191,92,P0-00091,1991-07-08,1991-07-07,Phase 0 Grantor 092,Phase 0 Grantee 092,"Section 1, Block 7, Raven Forest Survey, Walker County, Texas",1/45,Deterministic import stress row 00091
T02,Royalty Deed 00092,1992-08-08,phase0/import-stress/T02/image-00092.pdf,192,93,P0-00092,1992-08-09,1992-08-08,Phase 0 Grantor 093,Phase 0 Grantee 093,"Section 2, Block 1, Raven Forest Survey, Walker County, Texas",1/46,Deterministic import stress row 00092
T03,Oil and Gas Lease 00093,1993-09-09,phase0/import-stress/T03/image-00093.pdf,193,94,P0-00093,1993-09-10,1993-09-09,Phase 0 Grantor 094,Phase 0 Grantee 094,"Section 3, Block 2, Raven Forest Survey, Walker County, Texas",1/47,Deterministic import stress row 00093
T04,Assignment 00094,1994-10-10,phase0/import-stress/T04/image-00094.pdf,194,95,P0-00094,1994-10-11,1994-10-10,Phase 0 Grantor 095,Phase 0 Grantee 095,"Section 4, Block 3, Raven Forest Survey, Walker County, Texas",1/48,Deterministic import stress row 00094
T05,Ratification 00095,1995-11-11,phase0/import-stress/T05/image-00095.pdf,195,96,P0-00095,1995-11-12,1995-11-11,Phase 0 Grantor 096,Phase 0 Grantee 096,"Section 5, Block 4, Raven Forest Survey, Walker County, Texas",1/49,Deterministic import stress row 00095
T06,Warranty Deed 00096,1996-12-12,phase0/import-stress/T06/image-00096.pdf,196,97,P0-00096,1996-12-13,1996-12-12,Phase 0 Grantor 097,Phase 0 Grantee 097,"Section 6, Block 5, Raven Forest Survey, Walker County, Texas",1/2,Deterministic import stress row 00096
T07,Mineral Deed 00097,1997-01-13,phase0/import-stress/T07/image-00097.pdf,197,98,P0-00097,1997-01-14,1997-01-13,Phase 0 Grantor 001,Phase 0 Grantee 098,"Section 7, Block 6, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 00097
T08,Royalty Deed 00098,1998-02-14,phase0/import-stress/T08/image-00098.pdf,198,99,P0-00098,1998-02-15,1998-02-14,Phase 0 Grantor 002,Phase 0 Grantee 099,"Section 8, Block 7, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 00098
T09,Oil and Gas Lease 00099,1999-03-15,phase0/import-stress/T09/image-00099.pdf,199,100,P0-00099,1999-03-16,1999-03-15,Phase 0 Grantor 003,Phase 0 Grantee 100,"Section 9, Block 1, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 00099
